iter	Passed	Remaining
936	12304	250323
937	12320	250373
938	12334	250389
939	12347	250360
940	12359	250330
941	12374	250358
942	12392	250437
943	12405	250413
944	12417	250378
945	12433	250422
946	12445	250391
947	12458	250379
948	12471	250354
949	12483	250320
950	12495	250291
951	12507	250257
952	12520	250229
953	12532	250195
954	12544	250163
955	12557	250144
956	12571	250154
957	12584	250137
958	12601	250203
959	12614	250179
960	12627	250166
961	12640	250147
962	12652	250129
963	12665	250107
964	12678	250085
965	12691	250076
966	12704	250049
967	12716	250028
968	12734	250096
969	12747	250082
970	12760	250076
971	12773	250050
972	12788	250070
973	12800	250050
974	12815	250074
975	12829	250071
976	12842	250049
977	12854	250021
978	12867	249999
979	12880	249981
980	12892	249952
981	12904	249925
982	12917	249904
983	12930	249879
984	12942	249856
985	12955	249828
986	12968	249809
987	12980	249778
988	12992	249751
989	13005	249729
990	13020	249758
991	13033	249730
992	13045	249708
993	13058	249683
994	13070	249658
995	13086	249702
996	13099	249677
997	13112	249665
998	13125	249643
999	13138	249625
1000	13150	249605
1001	13163	249582
1002	13177	249576
1003	13189	249553
1004	13202	249536
1005	13215	249515
1006	13228	249499
1007	13241	249481
1008	13253	249459
1009	13266	249436
1010	13279	249425
1011	13292	249408
1012	13305	249395
1013	13319	249385
1014	13332	249371
1015	13344	249348
1016	13358	249338
1017	13371	249330
1018	13384	249317
1019	13397	249298
1020	13410	249280
1021	13423	249261
1022	13436	249253
1023	13449	249233
1024	13462	249228
1025	13475	249213
1026	13488	249196
1027	13501	249179
1028	13515	249173
1029	13527	249148
1030	13540	249130
1031	13553	249115
1032	13566	249092
1033	13579	249077
1034	13592	249059
1035	13605	249040
1036	13618	249025
1037	13630	248999
1038	13643	248976
1039	13655	248956
1040	13668	248937
1041	13681	248920
1042	13694	248896
1043	13706	248871
1044	13718	248842
1045	13731	248818
1046	13743	248795
1047	13756	248771
1048	13769	248750
1049	13781	248731
1050	13794	248707
1051	13807	248689
1052	13819	248663
1053	13832	248640
1054	13844	248617
1055	13857	248590
1056	13869	248561
1057	13881	248537
1058	13894	248516
1059	13908	248508
1060	13920	248488
1061	13933	248465
1062	13946	248446
1063	13959	248429
1064	13971	248409
1065	13984	248387
1066	13996	248363
1067	14010	248357
1068	14023	248336
1069	14036	248321
1070	14048	248293
1071	14061	248273
1072	14073	248251
1073	14086	248233
1074	14099	248208
1075	14111	248192
1076	14125	248182
1077	14138	248170
1078	14150	248147
1079	14164	248133
1080	14176	248110
1081	14189	248091
1082	14203	248103
1083	14235	248414
1084	14279	248929
1085	14292	248928
1086	14306	248920
1087	14318	248897
1088	14334	248921
1089	14347	248906
1090	14360	248901
1091	14374	248889
1092	14386	248868
1093	14400	248854
1094	14413	248842
1095	14425	248819
1096	14437	248787
1097	14450	248759
1098	14462	248732
1099	14474	248703
1100	14487	248681
1101	14499	248649
1102	14512	248629
1103	14525	248610
1104	14537	248586
1105	14550	248561
1106	14562	248530
1107	14575	248517
1108	14588	248496
1109	14600	248469
1110	14612	248446
1111	14625	248430
1112	14638	248409
1113	14653	248423
1114	14665	248392
1115	14678	248373
1116	14690	248351
1117	14703	248330
1118	14715	248300
1119	14728	248284
1120	14741	248261
1121	14755	248266
1122	14768	248245
1123	14781	248229
1124	14793	248207
1125	14806	248181
1126	14818	248156
1127	14831	248136
1128	14843	248109
1129	14856	248087
1130	14868	248062
1131	14882	248062
1132	14895	248038
1133	14908	248020
1134	14920	247998
1135	14933	247975
1136	14945	247946
1137	14957	247923
1138	14970	247896
1139	14982	247872
1140	14995	247847
1141	15007	247815
1142	15019	247789
1143	15031	247761
1144	15044	247735
1145	15056	247705
1146	15071	247726
1147	15084	247710
1148	15096	247681
1149	15108	247652
1150	15121	247624
1151	15133	247603
1152	15146	247581
1153	15158	247557
1154	15171	247532
1155	15183	247505
1156	15195	247482
1157	15208	247459
1158	15220	247429
1159	15232	247403
1160	15246	247390
1161	15257	247354
1162	15271	247354
1163	15283	247327
1164	15296	247302
1165	15308	247278
1166	15321	247254
1167	15333	247221
1168	15345	247193
1169	15357	247166
1170	15370	247149
1171	15384	247149
1172	15396	247120
1173	15409	247095
1174	15421	247072
1175	15434	247053
1176	15448	247062
1177	15461	247041
1178	15473	247013
1179	15501	247234
1180	15517	247274
1181	15537	247369
1182	15561	247529
1183	15574	247510
1184	15597	247656
1185	15620	247797
1186	15634	247801
1187	15658	247955
1188	15673	247971
1189	15711	248346
1190	15730	248419
1191	15745	248446
1192	15758	248420
1193	15774	248452
1194	15787	248435
1195	15815	248656
1196	15830	248667
1197	15844	248669
1198	15857	248649
1199	15870	248639
1200	15883	248622
1201	15896	248611
1202	15921	248773
1203	15933	248749
1204	15947	248733
1205	15960	248730
1206	15975	248742
1207	15989	248732
1208	16001	248705
1209	16015	248709
1210	16032	248742
1211	16044	248715
1212	16057	248701
1213	16071	248694
1214	16083	248671
1215	16096	248642
1216	16109	248626
1217	16121	248602
1218	16134	248577
1219	16147	248562
1220	16160	248541
1221	16172	248522
1222	16185	248503
1223	16198	248475
1224	16210	248449
1225	16228	248513
1226	16243	248518
1227	16256	248504
1228	16268	248478
1229	16281	248458
1230	16296	248478
1231	16310	248475
1232	16323	248451
1233	16337	248451
1234	16349	248421
1235	16362	248402
1236	16376	248395
1237	16389	248379
1238	16403	248375
1239	16416	248368
1240	16430	248357
1241	16443	248342
1242	16455	248307
1243	16466	248274
1244	16482	248294
1245	16494	248266
1246	16509	248273
1247	16522	248253
1248	16534	248221
1249	16547	248215
1250	16563	248233
1251	16575	248204
1252	16587	248173
1253	16599	248144
1254	16611	248115
1255	16624	248090
1256	16636	248059
1257	16648	248029
1258	16660	248004
1259	16672	247974
1260	16685	247946
1261	16697	247924
1262	16709	247896
1263	16722	247868
1264	16734	247840
1265	16746	247809
1266	16758	247781
1267	16770	247751
1268	16782	247722
1269	16795	247694
1270	16807	247669
1271	16820	247646
1272	16832	247617
1273	16844	247587
1274	16856	247556
1275	16868	247522
1276	16880	247493
1277	16892	247467
1278	16904	247436
1279	16917	247415
1280	16929	247389
1281	16941	247359
1282	16954	247340
1283	16966	247314
1284	16979	247288
1285	16991	247256
1286	17003	247227
1287	17015	247197
1288	17027	247169
1289	17040	247150
1290	17053	247130
1291	17065	247109
1292	17078	247087
1293	17090	247062
1294	17103	247044
1295	17116	247022
1296	17128	246994
1297	17141	246979
1298	17153	246955
1299	17166	246933
1300	17179	246911
1301	17191	246887
1302	17204	246864
1303	17216	246839
1304	17231	246850
1305	17244	246832
1306	17256	246806
1307	17269	246782
1308	17281	246760
1309	17294	246741
1310	17306	246713
1311	17319	246693
1312	17331	246672
1313	17344	246650
1314	17358	246651
1315	17371	246629
1316	17383	246605
1317	17395	246578
1318	17412	246615
1319	17425	246593
1320	17438	246574
1321	17450	246556
1322	17463	246535
1323	17475	246510
1324	17488	246484
1325	17500	246463
1326	17513	246443
1327	17526	246423
1328	17539	246404
1329	17551	246379
1330	17564	246361
1331	17576	246337
1332	17589	246318
1333	17602	246298
1334	17614	246278
1335	17627	246262
1336	17640	246245
1337	17653	246223
1338	17666	246203
1339	17683	246247
1340	17696	246232
1341	17709	246215
1342	17721	246194
1343	17734	246176
1344	17747	246158
1345	17760	246141
1346	17773	246117
1347	17790	246157
1348	17803	246146
1349	17816	246128
1350	17829	246112
1351	17843	246114
1352	17857	246106
1353	17870	246090
1354	17883	246079
1355	17899	246099
1356	17911	246080
1357	17924	246060
1358	17938	246053
1359	17951	246044
1360	17964	246024
1361	17978	246016
1362	17991	246013
1363	18007	246029
1364	18020	246017
1365	18033	245995
1366	18046	245984
1367	18059	245962
1368	18072	245948
1369	18084	245923
1370	18097	245902
1371	18112	245918
1372	18126	245918
1373	18139	245902
1374	18152	245881
1375	18165	245872
1376	18178	245853
1377	18191	245832
1378	18203	245807
1379	18216	245790
1380	18265	246258
1381	18290	246400
1382	18310	246487
1383	18353	246870
1384	18366	246852
1385	18378	246828
1386	18391	246801
1387	18404	246787
1388	18418	246782
1389	18444	246943
1390	18460	246960
1391	18481	247063
1392	18497	247081
1393	18510	247060
1394	18523	247039
1395	18536	247027
1396	18549	247009
1397	18562	246997
1398	18577	247002
1399	18592	247011
1400	18607	247024
1401	18619	246999
1402	18632	246978
1403	18644	246950
1404	18664	247021
1405	18680	247039
1406	18692	247015
1407	18706	247004
1408	18719	246989
1409	18731	246968
1410	18744	246943
1411	18756	246922
1412	18769	246900
1413	18782	246877
1414	18794	246855
1415	18807	246839
1416	18820	246820
1417	18833	246797
1418	18845	246771
1419	18858	246755
1420	18871	246733
1421	18883	246711
1422	18896	246690
1423	18909	246676
1424	18922	246662
1425	18935	246644
1426	18949	246633
1427	18962	246613
1428	18975	246604
1429	18988	246583
1430	19001	246571
1431	19015	246561
1432	19027	246536
1433	19040	246516
1434	19052	246493
1435	19065	246466
1436	19077	246442
1437	19089	246414
1438	19101	246384
1439	19113	246354
1440	19125	246327
1441	19141	246341
1442	19154	246326
1443	19167	246316
1444	19181	246310
1445	19196	246309
1446	19209	246292
1447	19222	246277
1448	19234	246257
1449	19247	246241
1450	19261	246225
1451	19273	246201
1452	19285	246174
1453	19298	246155
1454	19311	246133
1455	19323	246107
1456	19336	246086
1457	19350	246089
1458	19363	246077
1459	19376	246050
1460	19388	246025
1461	19401	246003
1462	19418	246039
1463	19430	246015
1464	19443	245997
1465	19455	245972
1466	19469	245957
1467	19481	245931
1468	19493	245906
1469	19505	245880
1470	19517	245852
1471	19530	245829
1472	19542	245804
1473	19554	245775
1474	19567	245748
1475	19579	245720
1476	19591	245693
1477	19603	245664
1478	19615	245635
1479	19627	245610
1480	19639	245580
1481	19654	245589
1482	19666	245563
1483	19679	245538
1484	19691	245511
1485	19703	245485
1486	19715	245458
1487	19727	245428
1488	19741	245423
1489	19754	245410
1490	19767	245388
1491	19779	245360
1492	19791	245334
1493	19805	245333
1494	19819	245322
1495	19832	245306
1496	19844	245283
1497	19858	245273
1498	19871	245253
1499	19883	245234
1500	19896	245213
1501	19909	245195
1502	19921	245173
1503	19934	245155
1504	19947	245132
1505	19960	245113
1506	19973	245104
1507	19988	245112
1508	20001	245094
1509	20014	245077
1510	20026	245052
1511	20038	245025
1512	20063	245156
1513	20075	245126
1514	20090	245127
1515	20102	245103
1516	20114	245072
1517	20126	245049
1518	20139	245024
1519	20151	245005
1520	20165	244991
1521	20177	244963
1522	20198	245046
1523	20210	245018
1524	20222	244993
1525	20234	244964
1526	20246	244938
1527	20261	244944
1528	20273	244914
1529	20285	244887
1530	20297	244859
1531	20310	244835
1532	20322	244809
1533	20334	244780
1534	20346	244749
1535	20358	244727
1536	20371	244709
1537	20383	244683
1538	20395	244654
1539	20408	244632
1540	20420	244609
1541	20433	244589
1542	20445	244564
1543	20457	244541
1544	20470	244516
1545	20482	244489
1546	20494	244460
1547	20506	244431
1548	20518	244412
1549	20531	244386
1550	20543	244361
1551	20555	244339
1552	20568	244315
1553	20580	244291
1554	20592	244262
1555	20605	244241
1556	20617	244220
1557	20630	244205
1558	20643	244189
1559	20655	244163
1560	20669	244150
1561	20681	244132
1562	20695	244119
1563	20708	244102
1564	20721	244087
1565	20734	244072
1566	20747	244059
1567	20760	244041
1568	20773	244030
1569	20787	244017
1570	20799	243999
1571	20813	243983
1572	20825	243966
1573	20838	243943
1574	20850	243921
1575	20863	243904
1576	20876	243881
1577	20888	243855
1578	20900	243830
1579	20913	243813
1580	20925	243785
1581	20938	243775
1582	20951	243750
1583	20963	243725
1584	20975	243704
1585	20989	243691
1586	21001	243664
1587	21013	243639
1588	21025	243614
1589	21037	243590
1590	21050	243566
1591	21062	243538
1592	21077	243548
1593	21089	243524
1594	21102	243502
1595	21115	243489
1596	21127	243466
1597	21140	243440
1598	21152	243416
1599	21164	243391
1600	21176	243366
1601	21188	243342
1602	21201	243316
1603	21214	243302
1604	21226	243283
1605	21239	243265
1606	21252	243248
1607	21266	243239
1608	21279	243221
1609	21291	243204
1610	21305	243189
1611	21317	243171
1612	21330	243156
1613	21343	243136
1614	21356	243116
1615	21368	243097
1616	21381	243079
1617	21394	243061
1618	21407	243043
1619	21419	243020
1620	21432	243004
1621	21445	242986
1622	21458	242972
1623	21471	242953
1624	21483	242931
1625	21496	242910
1626	21508	242891
1627	21521	242874
1628	21534	242856
1629	21547	242840
1630	21560	242823
1631	21573	242808
1632	21586	242793
1633	21599	242779
1634	21612	242764
1635	21625	242749
1636	21638	242731
1637	21651	242713
1638	21664	242699
1639	21677	242684
1640	21690	242667
1641	21703	242648
1642	21716	242636
1643	21729	242621
1644	21742	242601
1645	21755	242588
1646	21768	242575
1647	21781	242560
1648	21794	242544
1649	21808	242533
